id,node_id,step,value
1 5 10 11,n843,0,
"1 + 5 = 6 (left: 6 10 11)
",n844,1,1.002
"1 * 5 = 5 (left: 5 10 11)
",n845,1,2.001
"5 + 10 = 15 (left: 1 15 11)
",n846,1,0.003
"10 + 1 = 11 (left: 5 10 11)
",n847,1,2.001
"11 - 1 = 10 (left: 5 10 10)
",n848,1,1.002
"11 - 5 = 6 (left: 1 5 6)
",n849,1,2.001
"10 - 1 = 9 (left: 5 9 11)
",n850,1,2.001
"10 - 5 = 5 (left: 1 5 5)
",n851,1,1.002
"10 / 1 = 10 (left: 5 10 11)
",n852,1,2.001
"10 / 5 = 2 (left: 1 2 11)
",n853,1,0.003
"1 * 5 = 5 (left: 5 10 11)
5 + 10 = 15 (left: 11 15)
",n854,2,0.003
"1 * 5 = 5 (left: 5 10 11)
10 + 5 = 15 (left: 11 15)
",n855,2,0.003
"1 * 5 = 5 (left: 5 10 11)
5 * 10 = 50 (left: 11 50)
",n856,2,0.002
"1 * 5 = 5 (left: 5 10 11)
10 * 5 = 50 (left: 11 50)
",n857,2,0.002
"1 * 5 = 5 (left: 5 10 11)
10 - 5 = 5 (left: 5 11)
",n858,2,2.001
"1 * 5 = 5 (left: 5 10 11)
11 - 5 = 6 (left: 6 10)
",n859,2,3.0
"1 * 5 = 5 (left: 5 10 11)
10 - 11 = -1 (left: -1 10)
",n860,2,0
"1 * 5 = 5 (left: 5 10 11)
11 - 10 = 1 (left: 1 10)
",n861,2,0
"1 * 5 = 5 (left: 5 10 11)
5 / 10 = 0.5 (left: 11 0.5)
",n862,2,0.0
"1 * 5 = 5 (left: 5 10 11)
10 / 5 = 2 (left: 11 2)
",n863,2,0.003
"10 + 1 = 11 (left: 5 10 11)
5 + 10 = 15 (left: 11 15)
",n864,2,0.003
"10 + 1 = 11 (left: 5 10 11)
10 - 5 = 5 (left: 5 11)
",n865,2,2.001
"10 + 1 = 11 (left: 5 10 11)
5 * 10 = 50 (left: 11 50)
",n866,2,0.002
"10 + 1 = 11 (left: 5 10 11)
10 / 5 = 2 (left: 2 11)
",n867,2,2.001
"10 + 1 = 11 (left: 5 10 11)
11 + 5 = 16 (left: 10 16)
",n868,2,0.003
"10 + 1 = 11 (left: 5 10 11)
5 - 10 = -5 (left: -5 11)
",n869,2,3.0
"10 + 1 = 11 (left: 5 10 11)
11 - 5 = 6 (left: 6 10)
",n870,2,3.0
"10 + 1 = 11 (left: 5 10 11)
10 - 11 = -1 (left: -1 11)
",n871,2,0.0
"10 + 1 = 11 (left: 5 10 11)
5 / 10 = 0.5 (left: 0.5 11)
",n872,2,3.0
"11 - 5 = 6 (left: 1 5 6)
1 + 5 = 6 (left: 6 6)
",n873,2,3.0
"11 - 5 = 6 (left: 1 5 6)
5 + 1 = 6 (left: 6 6)
",n874,2,3.0
"11 - 5 = 6 (left: 1 5 6)
1 * 5 = 5 (left: 5 6)
",n875,2,3.0
"11 - 5 = 6 (left: 1 5 6)
5 * 1 = 5 (left: 5 6)
",n876,2,3.0
"11 - 5 = 6 (left: 1 5 6)
5 - 1 = 4 (left: 4 6)
",n877,2,0
"11 - 5 = 6 (left: 1 5 6)
6 - 1 = 5 (left: 5 6)
",n878,2,3.0
"11 - 5 = 6 (left: 1 5 6)
6 / 1 = 6 (left: 6 6)
",n879,2,3.0
"11 - 5 = 6 (left: 1 5 6)
6 / 5 = 1.2 (left: 1.2 6)
",n880,2,2.001
"11 - 5 = 6 (left: 1 5 6)
6 - 5 = 1 (left: 1 6)
",n881,2,2.001
"11 - 5 = 6 (left: 1 5 6)
6 + 1 = 7 (left: 5 7)
",n882,2,3.0
"11 - 5 = 6 (left: 1 5 6)
6 * 5 = 30 (left: 30)
",n883,2,0.0
