Source,Target,last_formula,operator
null,1 2 4 7,,
1 2 4 7,"1 + 2 = 3 (left: 3 4 7)
",1 + 2 = 3 (left: 3 4 7),+
1 2 4 7,"2 * 4 = 8 (left: 1 8 7)
",2 * 4 = 8 (left: 1 8 7),*
1 2 4 7,"7 - 1 = 6 (left: 2 4 6)
",7 - 1 = 6 (left: 2 4 6),-
1 2 4 7,"7 - 4 = 3 (left: 1 2 3)
",7 - 4 = 3 (left: 1 2 3),-
1 2 4 7,"4 + 2 = 6 (left: 1 6 7)
",4 + 2 = 6 (left: 1 6 7),+
1 2 4 7,"7 - 2 = 5 (left: 1 4 5)
",7 - 2 = 5 (left: 1 4 5),-
1 2 4 7,"4 - 2 = 2 (left: 1 2 7)
",4 - 2 = 2 (left: 1 2 7),-
"1 + 2 = 3 (left: 3 4 7)
","1 + 2 = 3 (left: 3 4 7)
3 + 4 = 7 (left: 7 7)
",3 + 4 = 7 (left: 7 7),+
"1 + 2 = 3 (left: 3 4 7)
","1 + 2 = 3 (left: 3 4 7)
3 * 4 = 12 (left: 7 12)
",3 * 4 = 12 (left: 7 12),*
"1 + 2 = 3 (left: 3 4 7)
","1 + 2 = 3 (left: 3 4 7)
4 - 3 = 1 (left: 1 7)
",4 - 3 = 1 (left: 1 7),-
"1 + 2 = 3 (left: 3 4 7)
","1 + 2 = 3 (left: 3 4 7)
7 - 4 = 3 (left: 3 7)
",7 - 4 = 3 (left: 3 7),-
"1 + 2 = 3 (left: 3 4 7)
","1 + 2 = 3 (left: 3 4 7)
7 / 3 = 2 (left: 2 7)
",7 / 3 = 2 (left: 2 7),/
"1 + 2 = 3 (left: 3 4 7)
","1 + 2 = 3 (left: 3 4 7)
4 + 7 = 11 (left: 3 11)
",4 + 7 = 11 (left: 3 11),+
"1 + 2 = 3 (left: 3 4 7)
","1 + 2 = 3 (left: 3 4 7)
3 - 4 = -1 (left: -1 7)
",3 - 4 = -1 (left: -1 7),-
"1 + 2 = 3 (left: 3 4 7)
","1 + 2 = 3 (left: 3 4 7)
7 - 3 = 4 (left: 4 7)
",7 - 3 = 4 (left: 4 7),-
"1 + 2 = 3 (left: 3 4 7)
","1 + 2 = 3 (left: 3 4 7)
7 / 4 = 1.75 (left: 1.75 7)
",7 / 4 = 1.75 (left: 1.75 7),/
"1 + 2 = 3 (left: 3 4 7)
","1 + 2 = 3 (left: 3 4 7)
4 * 7 = 28 (left: 7 28)
",4 * 7 = 28 (left: 7 28),*
"7 - 1 = 6 (left: 2 4 6)
","7 - 1 = 6 (left: 2 4 6)
2 + 4 = 6 (left: 6)
",2 + 4 = 6 (left: 6),+
"7 - 1 = 6 (left: 2 4 6)
","7 - 1 = 6 (left: 2 4 6)
2 * 4 = 8 (left: 6 8)
",2 * 4 = 8 (left: 6 8),*
"7 - 1 = 6 (left: 2 4 6)
","7 - 1 = 6 (left: 2 4 6)
4 * 6 = 24 (left: 24)
",4 * 6 = 24 (left: 24),*
"7 - 1 = 6 (left: 2 4 6)
","7 - 1 = 6 (left: 2 4 6)
6 * 2 = 12 (left: 12)
",6 * 2 = 12 (left: 12),*
"7 - 1 = 6 (left: 2 4 6)
","7 - 1 = 6 (left: 2 4 6)
4 + 6 = 10 (left: 10)
",4 + 6 = 10 (left: 10),+
"7 - 1 = 6 (left: 2 4 6)
","7 - 1 = 6 (left: 2 4 6)
6 + 2 = 8 (left: 8)
",6 + 2 = 8 (left: 8),+
"7 - 1 = 6 (left: 2 4 6)
","7 - 1 = 6 (left: 2 4 6)
4 / 2 = 2 (left: 2)
",4 / 2 = 2 (left: 2),/
"7 - 1 = 6 (left: 2 4 6)
","7 - 1 = 6 (left: 2 4 6)
6 / 2 = 3 (left: 3)
",6 / 2 = 3 (left: 3),/
"7 - 4 = 3 (left: 1 2 3)
","7 - 4 = 3 (left: 1 2 3)
1 + 2 = 3 (left: 3 3)
",1 + 2 = 3 (left: 3 3),+
"7 - 4 = 3 (left: 1 2 3)
","7 - 4 = 3 (left: 1 2 3)
1 * 2 = 2 (left: 2 3)
",1 * 2 = 2 (left: 2 3),*
"7 - 4 = 3 (left: 1 2 3)
","7 - 4 = 3 (left: 1 2 3)
2 + 3 = 5 (left: 1 5)
",2 + 3 = 5 (left: 1 5),+
"7 - 4 = 3 (left: 1 2 3)
","7 - 4 = 3 (left: 1 2 3)
1 * 3 = 3 (left: 2 3)
",1 * 3 = 3 (left: 2 3),*
"7 - 4 = 3 (left: 1 2 3)
","7 - 4 = 3 (left: 1 2 3)
3 + 2 = 5 (left: 1 5)
",3 + 2 = 5 (left: 1 5),+
"7 - 4 = 3 (left: 1 2 3)
","7 - 4 = 3 (left: 1 2 3)
2 * 3 = 6 (left: 1 6)
",2 * 3 = 6 (left: 1 6),*
"7 - 4 = 3 (left: 1 2 3)
","7 - 4 = 3 (left: 1 2 3)
3 - 2 = 1 (left: 1 3)
",3 - 2 = 1 (left: 1 3),-
"7 - 4 = 3 (left: 1 2 3)
","7 - 4 = 3 (left: 1 2 3)
2 - 1 = 1 (left: 1 3)
",2 - 1 = 1 (left: 1 3),-
"7 - 4 = 3 (left: 1 2 3)
","7 - 4 = 3 (left: 1 2 3)
3 - 1 = 2 (left: 2 3)
",3 - 1 = 2 (left: 2 3),-
"7 - 1 = 6 (left: 2 4 6)
4 * 6 = 24 (left: 24)
","7 - 1 = 6 (left: 2 4 6)
4 * 6 = 24 (left: 24)
Answer: (7 - 1) * 4 * 6 = 24
",Answer: (7 - 1) * 4 * 6 = 24,-
